date,Customer_1 (kW),Customer_2 (kW),Customer_3 (kW),Customer_4 (kW),Customer_5 (kW),Customer_6 (kW),Customer_7 (kW),Customer_8 (kW),Customer_9 (kW),Customer_10 (kW),Customer_11 (kW),Customer_12 (kW),Customer_13 (kW),Customer_14 (kW),Customer_15 (kW),Customer_16 (kW),Customer_17 (kW),Customer_18 (kW),Customer_19 (kW),Customer_20 (kW),Customer_21 (kW),Customer_22 (kW),Customer_23 (kW),Customer_24 (kW),Customer_25 (kW),Customer_26 (kW),Customer_27 (kW),Customer_28 (kW),Customer_29 (kW),Customer_30 (kW),Customer_31 (kW),Customer_32 (kW),Customer_33 (kW),Customer_34 (kW),Customer_35 (kW),Customer_36 (kW),Customer_37 (kW),Customer_38 (kW),Customer_39 (kW),Customer_40 (kW),Customer_41 (kW),Customer_42 (kW),Customer_43 (kW),Customer_44 (kW),Customer_45 (kW),Customer_46 (kW),Customer_47 (kW),Customer_48 (kW),Customer_49 (kW),Customer_50 (kW),Customer_51 (kW),Customer_52 (kW),Customer_53 (kW),Customer_54 (kW),Customer_55 (kW),Customer_56 (kW),Customer_57 (kW),Customer_58 (kW),Customer_59 (kW),Customer_60 (kW),Customer_61 (kW),Customer_62 (kW),Customer_63 (kW),Customer_64 (kW),Customer_65 (kW),Customer_66 (kW),Customer_67 (kW),Customer_68 (kW),Customer_69 (kW),Customer_70 (kW),Customer_71 (kW),Customer_72 (kW),Customer_73 (kW),Customer_74 (kW),Customer_75 (kW),Customer_76 (kW),Customer_77 (kW),Customer_78 (kW),Customer_79 (kW),Customer_80 (kW),Customer_81 (kW),Customer_82 (kW),Customer_83 (kW),Customer_84 (kW),Customer_85 (kW),Customer_86 (kW),Customer_87 (kW),Customer_88 (kW),Customer_89 (kW),Customer_90 (kW),Customer_91 (kW),Customer_92 (kW),Customer_93 (kW),Customer_94 (kW),Customer_95 (kW)
2020-12-29 19:00:00,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098
2020-12-29 19:15:00,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143
2020-12-29 19:30:00,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143
2020-12-29 19:45:00,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110
2020-12-29 20:00:00,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110
2020-12-29 20:15:00,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110,-0.0110
2020-12-29 20:30:00,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111
2020-12-29 20:45:00,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111
2020-12-29 21:00:00,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119
2020-12-29 21:15:00,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220
2020-12-29 21:30:00,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220
2020-12-29 21:45:00,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220,-0.0220
2020-12-29 22:00:00,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197
2020-12-29 22:15:00,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197,-0.0197
2020-12-29 22:30:00,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128
2020-12-29 22:45:00,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099
2020-12-29 23:00:00,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142
2020-12-29 23:15:00,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142
2020-12-29 23:30:00,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102
2020-12-29 23:45:00,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102
2020-12-30 00:00:00,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162
2020-12-30 00:15:00,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106
